Modèle,État,Année-Modèle,Marque,Origine,Kilométrage,Première main,Nombre de portes,carburant,Ville,boite,puissance,price
Tiguan,Très bon,2019,Volkswagen,Dédouanée,134999.5,Oui,5,Diesel,Larache,,8 CV,435000.0
PASSAT CC,Très bon,2011,Volkswagen,Importée neuve,224999.5,,5,Diesel,El Jadida,,8 CV,146000.0
Partner,Très bon,2016,Peugeot,WW au Maroc,82499.5,Oui,5,,Agadir,Manuelle,6 CV,155000.0
C-Max,Très bon,2014,Ford,WW au Maroc,104999.5,Non,,,Salé,Manuelle,6 CV,130000.0
Q5,Excellent,2014,Audi,WW au Maroc,224999.5,Oui,5,Diesel,Fès,,8 CV,189000.0
Kangoo,Correct,2006,Renault,WW au Maroc,104999.5,Non,5,Diesel,Tanger,,6 CV,59000.0
Qashqai,Excellent,2014,Nissan,Dédouanée,174999.5,,5,,Rabat,Automatique,8 CV,140000.0
308,Très bon,2012,Peugeot,WW au Maroc,224999.5,,,Diesel,Salé,,6 CV,83000.0
GOLF 2,,1987,Volkswagen,,324999.5,,,nan,Tétouan,,6 CV,26000.0
C-ELYSEE,Bon,2019,Citroen,WW au Maroc,164999.5,Non,5,Diesel,Casablanca,,6 CV,87000.0
205,Correct,1990,Peugeot,Dédouanée,324999.5,Non,3,,Casablanca,Manuelle,7 CV,18000.0
207,Très bon,2008,Peugeot,,224999.5,,5,Essence,Khemisset,Manuelle,,5700.0
Crossland X,Excellent,2021,Opel,WW au Maroc,17499.5,,5,,Safi,Manuelle,6 CV,192000.0
Q5,6,2016,Audi,WW au Maroc,134999.5,Oui,5,Diesel,Casablanca,,12 CV,330000.0
407,Très bon,2006,Peugeot,,22499.5,,5,Diesel,Marrakech,Manuelle,,52000.0
FIORINO,Bon,2021,Fiat,WW au Maroc,42499.5,Non,5,Diesel,Casablanca,,6 CV,109000.0
Logan,Bon,2009,Dacia,Dédouanée,224999.5,Oui,5,Diesel,Azrou,,6 CV,60000.0
Octavia,Très bon,2010,Skoda,Dédouanée,194999.5,Non,5,Diesel,Agadir,,8 CV,100000.0
Polo,Très bon,2008,Volkswagen,WW au Maroc,7499.5,Non,3,,Casablanca,Manuelle,7 CV,55000.0
301,Excellent,2013,Peugeot,WW au Maroc,154999.5,Non,5,,Kénitra,Manuelle,6 CV,83000.0
Corsa,Très bon,2019,Opel,WW au Maroc,42499.5,Non,5,,Mohammedia,Manuelle,7 CV,99000.0
Grand i10,Excellent,2019,Hyundai,WW au Maroc,87499.5,Non,5,,Mohammedia,Manuelle,6 CV,94000.0
Talisman,Très bon,2018,Renault,WW au Maroc,124999.5,Non,5,Diesel,Mohammedia,,6 CV,182000.0
C-Max,Très bon,2013,Ford,WW au Maroc,144999.5,Non,5,Diesel,Casablanca,Manuelle,,120000.0
Touran,Très bon,2006,Volkswagen,Dédouanée,224999.5,Non,5,,Agadir,Manuelle,18 CV,110000.0
Giulietta,Excellent,2011,Alfa Romeo,WW au Maroc,194999.5,Non,5,Diesel,Rabat,,8 CV,103000.0
Palio,Très bon,2001,Fiat,WW au Maroc,2499.5,Non,5,Diesel,Casablanca,Manuelle,,29000.0
Fiesta,Très bon,2013,Ford,WW au Maroc,154999.5,Non,5,,Casablanca,Manuelle,6 CV,74000.0
megane_4,Très bon,2016,Renault,Dédouanée,144999.5,Oui,5,Diesel,Casablanca,Manuelle,,137000.0
LS,Très bon,2007,Lexus,WW au Maroc,104999.5,Oui,5,Essence,Casablanca,,26 CV,159000.0
C4,Excellent,2014,Citroen,WW au Maroc,114999.5,Non,5,Diesel,Rabat,,6 CV,107000.0
Auris,Excellent,2015,Toyota,WW au Maroc,2499.5,Non,5,,Casablanca,Manuelle,5 CV,125000.0
Santa Fe,Très bon,2015,Hyundai,WW au Maroc,194999.5,Non,5,Diesel,Mohammedia,Automatique,,210000.0
Dokker,6,2013,Dacia,WW au Maroc,274999.5,Non,5,,Safi,Manuelle,6 CV,72000.0
Carens,Excellent,2008,Kia,WW au Maroc,194999.5,Non,5,Diesel,Casablanca,,8 CV,59000.0
220,,2004,Mercedes-Benz,,274999.5,,,Diesel,Casablanca,nan,,95000.0
206 SW,Très bon,2004,Peugeot,WW au Maroc,324999.5,,5,Diesel,Had Soualem,,6 CV,56000.0
Picanto,,2010,Kia,Dédouanée,224999.5,,5,,Inzegan,Manuelle,6 CV,53000.0
Tucson,Excellent,2020,Hyundai,WW au Maroc,87499.5,Oui,5,,Casablanca,Automatique,6 CV,283000.0
Renegade,Très bon,2019,Jeep,WW au Maroc,87499.5,Oui,5,Diesel,Casablanca,Automatique,,210000.0
Logan,Bon,2017,Dacia,,17499.5,,5,Essence,Marrakech,,7 CV,74000.0
Megane,,2008,Renault,,27499.5,,,Diesel,Errachidia,nan,,72000.0
Clio,Très bon,2017,Renault,WW au Maroc,144999.5,Non,5,,Bouznika,Manuelle,6 CV,102000.0
CMP,Très bon,2009,Chevrolet,WW au Maroc,82499.5,Non,3,,Ain Aouda,Manuelle,6 CV,45000.0
AX,Très bon,2000,Citroen,WW au Maroc,12499.5,Oui,5,Essence,Temara,Manuelle,,33000.0
Berlingo,Excellent,2011,Citroen,WW au Maroc,22499.5,Oui,5,Diesel,Zaouïat Cheikh,Manuelle,,70000.0
Clio,Très bon,2017,Renault,WW au Maroc,124999.5,Non,5,Diesel,Meknès,,6 CV,122000.0
Megane,Très bon,2005,Renault,WW au Maroc,174999.5,Oui,5,Diesel,El Jadida,Manuelle,,57000.0
Partner,Très bon,2009,Peugeot,Importée neuve,224999.5,,5,Diesel,Oujda,Manuelle,,72000.0
Serie 3,Très bon,2010,BMW,WW au Maroc,224999.5,Non,5,,Casablanca,Automatique,8 CV,125000.0
A3,Excellent,2015,Audi,Dédouanée,164999.5,Non,5,Diesel,Fès,Automatique,,259000.0
A3,6,2015,Audi,WW au Maroc,164999.5,Non,,Diesel,Rabat,Automatique,,210000.0
Range Rover Sport,Très bon,2016,Land Rover,WW au Maroc,124999.5,Oui,5,,Casablanca,Automatique,12 CV,365000.0
Megane Sedan,,2018,Renault,,67499.5,,,Diesel,Casablanca,nan,,168000.0
Range Rover Sport,Très bon,2018,Land Rover,Importée neuve,77499.5,Oui,5,Essence,Casablanca,Automatique,,920000.0
Serie 3,Excellent,2014,BMW,Dédouanée,144999.5,,5,Diesel,Casablanca,nan,,220000.0
Carens,Très bon,2006,Kia,WW au Maroc,224999.5,Non,5,,Rabat,Manuelle,8 CV,52000.0
Super 5,Très bon,1992,Renault,,97499.5,,5,Diesel,El Jadida,nan,,27000.0
Kangoo Express,Excellent,2017,Renault,WW au Maroc,97499.5,,5,Diesel,Casablanca,Manuelle,,85000.0
3008,Excellent,2017,Peugeot,WW au Maroc,124999.5,Non,5,Diesel,Oujda,Automatique,,215000.0
Logan,Très bon,2014,Dacia,WW au Maroc,144999.5,Non,5,Diesel,Marrakech,Manuelle,,89000.0
Classe B,Très bon,2011,Mercedes-Benz,WW au Maroc,124999.5,Non,5,Diesel,Rabat,,8 CV,105000.0
fusion_berline,Excellent,2016,Ford,WW au Maroc,224999.5,Non,5,,Agadir,Automatique,8 CV,163000.0
L200,Bon,2013,Mitsubishi,,Plus de 500 000,,,,Casablanca,Manuelle,10 CV,110000.0
Captur,6,2021,Renault,,7499.5,Oui,,Diesel,Casablanca,nan,,210000.0
500,Excellent,2016,Fiat,WW au Maroc,72499.5,Non,3,,Rabat,Manuelle,7 CV,102000.0
220,Très bon,2007,Mercedes-Benz,WW au Maroc,224999.5,Non,5,Diesel,Rabat,Automatique,,110000.0
XSARA,Bon,2001,Citroen,,224999.5,,5,,Rabat,Manuelle,7 CV,33000.0
C3,Très bon,2007,Citroen,,22499.5,,5,,Tanger,Manuelle,6 CV,55000.0
Serie 3,Bon,2011,BMW,WW au Maroc,174999.5,Oui,5,Diesel,Casablanca,Automatique,,150000.0
Clio,Très bon,2016,Renault,Dédouanée,184999.5,,5,Diesel,Rabat,Manuelle,,110000.0
Range Rover Sport,Excellent,2013,Land Rover,,124999.5,,5,Diesel,Dakhla,,19 CV,150000.0
Logan,Très bon,2018,Dacia,WW au Maroc,72499.5,Oui,5,Diesel,Oujda,,6 CV,110000.0
208,Très bon,2019,Peugeot,,67499.5,Non,5,,Salé,Manuelle,6 CV,133000.0
Megane 3,Très bon,2011,Renault,WW au Maroc,134999.5,Non,5,Diesel,Meknès,Manuelle,,108000.0
Accent,Bon,2008,Hyundai,WW au Maroc,22499.5,,5,Diesel,Tanger,Manuelle,,65000.0
Logan,Très bon,2007,Dacia,WW au Maroc,324999.5,,5,Essence,Agadir,,8 CV,39000.0
Giulietta,Bon,2012,Alfa Romeo,WW au Maroc,77499.5,Non,5,Diesel,Casablanca,Manuelle,,128000.0
Ibiza,Très bon,2019,Seat,WW au Maroc,7499.5,Non,5,,Settat,Manuelle,6 CV,125000.0
GOLF 4,Bon,1999,Volkswagen,WW au Maroc,324999.5,Non,5,,Errachidia,Manuelle,8 CV,62000.0
Megane,Bon,1997,Renault,WW au Maroc,32499.5,Non,5,Essence,Agadir,,8 CV,30000.0
308,Excellent,2010,Peugeot,WW au Maroc,224999.5,,5,Diesel,Settat,,6 CV,86000.0
Tiguan,Très bon,2009,Volkswagen,WW au Maroc,174999.5,Non,5,Diesel,Casablanca,,8 CV,140000.0
Aygo,Excellent,2012,Toyota,WW au Maroc,104999.5,,,,Oujda,Manuelle,6 CV,65000.0
240,Très bon,1983,Mercedes-Benz,Dédouanée,224999.5,,,Diesel,Tanger,,10 CV,33000.0
205,Très bon,1985,Peugeot,,274999.5,,5,,Taroudant,Manuelle,7 CV,30000.0
Picanto,Bon,2009,Kia,Importée neuve,144999.5,Non,5,,Safi,Manuelle,6 CV,48000.0
Twingo,Très bon,2000,Renault,Dédouanée,184999.5,Oui,3,Essence,Oujda,,6 CV,30000.0
Corolla,Très bon,2006,Toyota,WW au Maroc,324999.5,,5,Diesel,Agadir,,8 CV,52000.0
ix 35,,2014,Hyundai,,144999.5,,,Diesel,Kénitra,,8 CV,114000.0
Corolla,,2004,Toyota,,174999.5,,,,Casablanca,Manuelle,8 CV,43000.0
C3,Très bon,2021,Citroen,WW au Maroc,17499.5,Oui,5,Diesel,Khemisset,Manuelle,,150000.0
Duster,6,2014,Dacia,WW au Maroc,124999.5,Oui,5,Diesel,Casablanca,,6 CV,115000.0
Civic,Très bon,1997,Honda,,474999.5,,5,Essence,Khouribga,,9 CV,42000.0
Accent,Correct,2007,Hyundai,,324999.5,,5,Diesel,Al Hoceïma,Manuelle,,32000.0
Touareg,6,2022,Volkswagen,WW au Maroc,22499.5,,5,,Rabat,Automatique,12 CV,580000.0
GOLF 6,Très bon,2011,Volkswagen,WW au Maroc,274999.5,Oui,5,,Berkane,Automatique,6 CV,115000.0
Logan,Très bon,2011,Dacia,WW au Maroc,224999.5,,5,Diesel,Khemisset,Manuelle,,50000.0
306,Très bon,1995,Peugeot,,374999.5,,5,Diesel,Agadir,,8 CV,26000.0
Fiesta,Excellent,2013,Ford,WW au Maroc,134999.5,Oui,3,Diesel,Tanger,Manuelle,,87000.0
Clio,Bon,2019,Renault,WW au Maroc,92499.5,Non,5,,Casablanca,Manuelle,6 CV,99900.0
206+,Très bon,2012,Peugeot,WW au Maroc,144999.5,Non,5,Diesel,Tanger,,6 CV,70000.0
Giulietta,Excellent,2016,Alfa Romeo,WW au Maroc,92499.5,Non,5,Diesel,Casablanca,Manuelle,,127000.0
Civic,Très bon,2010,Honda,WW au Maroc,164999.5,,5,Diesel,Agadir,,8 CV,80000.0
220,Très bon,2000,Mercedes-Benz,Dédouanée,184999.5,Non,5,Diesel,Casablanca,,9 CV,67000.0
Aygo,Très bon,2013,Toyota,WW au Maroc,77499.5,Non,5,,Casablanca,Manuelle,6 CV,62000.0
GOLF 7,Très bon,2015,Volkswagen,Dédouanée,17499.5,Non,5,Diesel,Tanger,,9 CV,265000.0
Touran,Excellent,2016,Volkswagen,Dédouanée,194999.5,Oui,5,Diesel,Casablanca,,8 CV,205000.0
307,Correct,2005,Peugeot,WW au Maroc,97499.5,,5,Essence,Deroua,,9 CV,41000.0
Sorento,Excellent,2009,Kia,WW au Maroc,37499.5,,5,,Settat,Manuelle,8 CV,56000.0
Kangoo,Excellent,2017,Renault,WW au Maroc,224999.5,Non,3,Diesel,Meknès,nan,,86000.0
Zotye,Bon,2011,Geely,Dédouanée,27499.5,,3,Essence,Dakhla,Manuelle,,12000.0
Q5,Excellent,2013,Audi,WW au Maroc,194999.5,Non,5,Diesel,Béni Mellal,Automatique,,265000.0
Fiesta,Très bon,2004,Ford,Dédouanée,224999.5,Non,5,,Khénifra,Manuelle,7 CV,52000.0
Fiesta,Très bon,2017,Ford,WW au Maroc,144999.5,Oui,5,,Marrakech,Manuelle,7 CV,86000.0
CC,Excellent,2017,Volkswagen,Importée neuve,92499.5,Non,5,Diesel,Sefrou,,8 CV,205000.0
Spark,,2012,Chevrolet,,134999.5,,5,,Casablanca,Manuelle,6 CV,45000.0
Ranger,Excellent,2017,Ford,,274999.5,Oui,,Essence,Temara,nan,,130000.0
X5,Excellent,2016,BMW,WW au Maroc,154999.5,,5,,Casablanca,Automatique,8 CV,290000.0
Serie 7,Excellent,2012,BMW,WW au Maroc,174999.5,Non,5,Diesel,Bouskoura,Automatique,,200000.0
Berlingo,,2004,Citroen,,2499.5,,,nan,Agadir,,6 CV,45000.0
Qashqai,Excellent,2015,Nissan,WW au Maroc,154999.5,Non,5,,Berrechid,Manuelle,6 CV,159000.0
Qashqai,Excellent,2016,Nissan,WW au Maroc,104999.5,Non,5,Diesel,Berrechid,,6 CV,165000.0
Qashqai,Excellent,2015,Nissan,WW au Maroc,144999.5,Non,5,Diesel,Berrechid,,6 CV,159000.0
Duster,Très bon,2017,Dacia,WW au Maroc,97499.5,,5,Diesel,Khouribga,nan,,135000.0
Tiguan,,2014,Volkswagen,Dédouanée,2499.5,Non,5,,Settat,Manuelle,8 CV,200000.0
punto_classic,Très bon,2008,Fiat,WW au Maroc,224999.5,,5,Essence,Kénitra,Manuelle,,45000.0
Xsara Picasso,Bon,2006,Citroen,Dédouanée,274999.5,Non,5,Diesel,Guercif,,6 CV,68000.0
Accent,Bon,2017,Hyundai,WW au Maroc,134999.5,Non,5,,Casablanca,Manuelle,6 CV,102000.0
Doblo,Très bon,2018,Fiat,,164999.5,Non,3,Diesel,Meknès,,6 CV,85000.0
Tiguan,Excellent,2017,Volkswagen,WW au Maroc,154999.5,Oui,5,Diesel,Tanger,,8 CV,235000.0
Yaris,Excellent,2008,Toyota,WW au Maroc,12499.5,Non,5,Essence,Salé,Manuelle,,41000.0
Sandero,Excellent,2013,Dacia,WW au Maroc,184999.5,Oui,5,,Casablanca,Manuelle,6 CV,76000.0
C-Max,Excellent,2013,Ford,WW au Maroc,194999.5,Oui,5,Diesel,Casablanca,Manuelle,,110000.0
Dokker,Bon,2016,Dacia,WW au Maroc,274999.5,Non,5,,Casablanca,Manuelle,6 CV,78000.0
Amarok,Très bon,2012,Volkswagen,WW au Maroc,274999.5,Oui,5,Diesel,Kénitra,,7 CV,145000.0
C3,Très bon,2013,Citroen,WW au Maroc,164999.5,,5,Diesel,Casablanca,Manuelle,,70000.0
Duster,Très bon,2019,Dacia,WW au Maroc,114999.5,Non,5,Diesel,Rabat,Manuelle,,154000.0
Berlingo,Très bon,2003,Citroen,WW au Maroc,164999.5,,5,Diesel,Tifelt,Manuelle,,40000.0
Tiguan,Très bon,2018,Volkswagen,WW au Maroc,134999.5,Oui,5,Essence,Agadir,Automatique,,325000.0
Kangoo,Excellent,2012,Renault,WW au Maroc,224999.5,,5,Diesel,Arfoud,Manuelle,,87000.0
Focus,Très bon,2007,Ford,WW au Maroc,194999.5,Non,5,Essence,Casablanca,Manuelle,,50000.0
Fiesta,Très bon,2019,Ford,,72499.5,,5,Essence,Fès,,6 CV,90000.0
Classe C,Excellent,2013,Mercedes-Benz,WW au Maroc,104999.5,,5,,Rabat,Automatique,9 CV,199000.0
Polo,Très bon,2003,Volkswagen,WW au Maroc,274999.5,,5,,Agadir,Manuelle,8 CV,43000.0
Logan,,2018,Dacia,,82499.5,,5,Essence,Laâyoune,,7 CV,85000.0
Qashqai,Très bon,2018,Nissan,WW au Maroc,134999.5,Non,5,,Fès,Manuelle,6 CV,193000.0
Picanto,Très bon,2007,Kia,WW au Maroc,274999.5,Non,5,Essence,Salé,Manuelle,,52000.0
Mondeo,Très bon,2003,Ford,WW au Maroc,224999.5,Non,5,Diesel,Settat,,8 CV,34000.0
220,Très bon,1999,Mercedes-Benz,Dédouanée,2499.5,Non,5,Diesel,Nador,,8 CV,65000.0
Qashqai,6,2023,Nissan,WW au Maroc,2499.5,,5,Essence,El Jadida,Automatique,,267000.0
H-100,Très bon,2010,Hyundai,WW au Maroc,224999.5,Non,5,Diesel,Rabat,,10 CV,115000.0
Uno,Excellent,1999,Fiat,WW au Maroc,52499.5,,5,Essence,Marrakech,,6 CV,27000.0
Touareg,Excellent,2014,Volkswagen,WW au Maroc,144999.5,,5,Diesel,Casablanca,Automatique,,165000.0
220,Très bon,2009,Mercedes-Benz,Importée neuve,184999.5,,5,Diesel,Casablanca,Automatique,,132000.0
19,Excellent,1993,Renault,Dédouanée,104999.5,Non,5,,Fès,Manuelle,7 CV,41000.0
Hilux,Bon,2009,Toyota,WW au Maroc,27499.5,Non,5,,Laâyoune,Manuelle,10 CV,135000.0
Accent,,2014,Hyundai,,224999.5,,,Diesel,Casablanca,Automatique,,100000.0
500,Excellent,2015,Fiat,WW au Maroc,114999.5,Non,3,,Casablanca,Manuelle,5 CV,85000.0
Corolla,Très bon,2007,Toyota,WW au Maroc,274999.5,Non,5,Diesel,Marrakech,,8 CV,62000.0
220,Très bon,2001,Mercedes-Benz,Dédouanée,274999.5,Oui,5,Diesel,Meknès,,9 CV,65000.0
Duster,Excellent,2021,Dacia,WW au Maroc,57499.5,Non,5,,El Jadida,Manuelle,6 CV,179000.0
C3,Très bon,2011,Citroen,WW au Maroc,104999.5,,,,Casablanca,Manuelle,8 CV,77000.0
Partner,Bon,2008,Peugeot,WW au Maroc,224999.5,Non,5,Diesel,Temara,Manuelle,,59000.0
Classe B,Bon,2008,Mercedes-Benz,Dédouanée,224999.5,Non,5,,Tanger,Manuelle,8 CV,80000.0
Civic,Excellent,2017,Honda,WW au Maroc,144999.5,,5,Essence,Casablanca,,11 CV,159000.0
Megane 3,Très bon,2010,Renault,WW au Maroc,164999.5,,5,Diesel,Casablanca,,6 CV,88000.0
308,,2003,Peugeot,WW au Maroc,22499.5,Non,5,Essence,Laâyoune,,8 CV,50000.0
RAV 4,,2005,Toyota,WW au Maroc,224999.5,Non,,,Agadir,Manuelle,8 CV,66000.0
Fluence,,2010,Renault,,224999.5,,5,Diesel,Errachidia,,6 CV,95000.0
Passat,Bon,2000,Volkswagen,Dédouanée,224999.5,Non,5,,Marrakech,Manuelle,8 CV,58000.0
308,Bon,2012,Peugeot,WW au Maroc,77499.5,Oui,5,Diesel,Agadir,Manuelle,,95000.0
Kuga,Excellent,2016,Ford,,164999.5,,,Diesel,El Jadida,nan,,157000.0
Berlingo,Bon,2015,Citroen,WW au Maroc,134999.5,Oui,5,Diesel,Mohammedia,Manuelle,,125000.0
